"filename", "language", "Makefile", "HTML", "C", "C++", "Log", "comment", "blank", "total"
"/home/parsa/Desktop/nano/lib/gettime.c", "C", 0, 0, 22, 0, 0, 19, 9, 50
"/home/parsa/Desktop/nano/lib/gettimeofday.c", "C", 0, 0, 80, 0, 0, 44, 30, 154
"/home/parsa/Desktop/nano/lib/glob-libc.gl.h", "C++", 0, 0, 0, 117, 0, 41, 21, 179
"/home/parsa/Desktop/nano/lib/glob-libc.h", "C++", 0, 0, 0, 113, 0, 40, 21, 174
"/home/parsa/Desktop/nano/lib/glob.c", "C", 0, 0, 1186, 0, 0, 181, 148, 1515
"/home/parsa/Desktop/nano/lib/glob.in.h", "C++", 0, 0, 0, 117, 0, 33, 28, 178
"/home/parsa/Desktop/nano/lib/glob_internal.h", "C++", 0, 0, 0, 39, 0, 17, 10, 66
"/home/parsa/Desktop/nano/lib/glob_pattern_p.c", "C", 0, 0, 11, 0, 0, 19, 4, 34
"/home/parsa/Desktop/nano/lib/globfree.c", "C", 0, 0, 20, 0, 0, 18, 4, 42
"/home/parsa/Desktop/nano/lib/glthread/lock.c", "C", 0, 0, 590, 0, 0, 71, 89, 750
"/home/parsa/Desktop/nano/lib/glthread/lock.h", "C++", 0, 0, 0, 549, 0, 134, 107, 790
"/home/parsa/Desktop/nano/lib/glthread/threadlib.c", "C", 0, 0, 59, 0, 0, 26, 24, 109
"/home/parsa/Desktop/nano/lib/hard-locale.c", "C", 0, 0, 12, 0, 0, 17, 7, 36
"/home/parsa/Desktop/nano/lib/hard-locale.h", "C++", 0, 0, 0, 5, 0, 19, 5, 29
"/home/parsa/Desktop/nano/lib/idx.h", "C++", 0, 0, 0, 7, 0, 98, 10, 115
"/home/parsa/Desktop/nano/lib/intprops.h", "C++", 0, 0, 0, 333, 0, 258, 50, 641
"/home/parsa/Desktop/nano/lib/inttypes.h", "C++", 0, 0, 0, 1150, 0, 304, 56, 1510
"/home/parsa/Desktop/nano/lib/inttypes.in.h", "C++", 0, 0, 0, 931, 0, 38, 34, 1003
"/home/parsa/Desktop/nano/lib/isblank.c", "C", 0, 0, 7, 0, 0, 23, 4, 34
"/home/parsa/Desktop/nano/lib/isnan.c", "C", 0, 0, 123, 0, 0, 52, 15, 190
"/home/parsa/Desktop/nano/lib/isnand-nolibm.h", "C++", 0, 0, 0, 14, 0, 18, 2, 34
"/home/parsa/Desktop/nano/lib/isnand.c", "C", 0, 0, 1, 0, 0, 16, 3, 20
"/home/parsa/Desktop/nano/lib/isnanf-nolibm.h", "C++", 0, 0, 0, 18, 0, 22, 2, 42
"/home/parsa/Desktop/nano/lib/isnanf.c", "C", 0, 0, 2, 0, 0, 16, 3, 21
"/home/parsa/Desktop/nano/lib/isnanl-nolibm.h", "C++", 0, 0, 0, 14, 0, 19, 2, 35
"/home/parsa/Desktop/nano/lib/isnanl.c", "C", 0, 0, 2, 0, 0, 16, 3, 21
"/home/parsa/Desktop/nano/lib/iswblank.c", "C", 0, 0, 7, 0, 0, 16, 4, 27
"/home/parsa/Desktop/nano/lib/itold.c", "C", 0, 0, 7, 0, 0, 18, 4, 29
"/home/parsa/Desktop/nano/lib/langinfo.h", "C++", 0, 0, 0, 374, 0, 282, 48, 704
"/home/parsa/Desktop/nano/lib/langinfo.in.h", "C++", 0, 0, 0, 162, 0, 34, 27, 223
"/home/parsa/Desktop/nano/lib/lc-charset-dispatch.c", "C", 0, 0, 46, 0, 0, 22, 15, 83
"/home/parsa/Desktop/nano/lib/lc-charset-dispatch.h", "C++", 0, 0, 0, 15, 0, 19, 7, 41
"/home/parsa/Desktop/nano/lib/libc-config.h", "C++", 0, 0, 0, 117, 0, 55, 17, 189
"/home/parsa/Desktop/nano/lib/limits.h", "C++", 0, 0, 0, 73, 0, 33, 17, 123
"/home/parsa/Desktop/nano/lib/limits.in.h", "C++", 0, 0, 0, 74, 0, 32, 16, 122
"/home/parsa/Desktop/nano/lib/localcharset.c", "C", 0, 0, 840, 0, 0, 260, 60, 1160
"/home/parsa/Desktop/nano/lib/localcharset.h", "C++", 0, 0, 0, 10, 0, 117, 11, 138
"/home/parsa/Desktop/nano/lib/locale.h", "C++", 0, 0, 0, 415, 0, 344, 54, 813
"/home/parsa/Desktop/nano/lib/locale.in.h", "C++", 0, 0, 0, 196, 0, 78, 32, 306
"/home/parsa/Desktop/nano/lib/localeconv.c", "C", 0, 0, 71, 0, 0, 19, 14, 104
"/home/parsa/Desktop/nano/lib/lstat.c", "C", 0, 0, 42, 0, 0, 50, 13, 105
"/home/parsa/Desktop/nano/lib/malloc.c", "C", 0, 0, 22, 0, 0, 18, 12, 52
"/home/parsa/Desktop/nano/lib/malloc/dynarray-skeleton.c", "C", 0, 0, 319, 0, 0, 167, 43, 529
"/home/parsa/Desktop/nano/lib/malloc/dynarray-skeleton.gl.h", "C++", 0, 0, 0, 319, 0, 168, 43, 530
"/home/parsa/Desktop/nano/lib/malloc/dynarray.gl.h", "C++", 0, 0, 0, 39, 0, 120, 16, 175
"/home/parsa/Desktop/nano/lib/malloc/dynarray.h", "C++", 0, 0, 0, 44, 0, 119, 16, 179
"/home/parsa/Desktop/nano/lib/malloc/dynarray_at_failure.c", "C", 0, 0, 19, 0, 0, 17, 4, 40
"/home/parsa/Desktop/nano/lib/malloc/dynarray_emplace_enlarge.c", "C", 0, 0, 50, 0, 0, 23, 5, 78
"/home/parsa/Desktop/nano/lib/malloc/dynarray_finalize.c", "C", 0, 0, 37, 0, 0, 23, 7, 67
"/home/parsa/Desktop/nano/lib/malloc/dynarray_resize.c", "C", 0, 0, 40, 0, 0, 23, 6, 69
"/home/parsa/Desktop/nano/lib/malloc/dynarray_resize_clear.c", "C", 0, 0, 18, 0, 0, 18, 4, 40
"/home/parsa/Desktop/nano/lib/malloc/scratch_buffer.gl.h", "C++", 0, 0, 0, 52, 0, 81, 16, 149
"/home/parsa/Desktop/nano/lib/malloc/scratch_buffer.h", "C++", 0, 0, 0, 56, 0, 80, 16, 152
"/home/parsa/Desktop/nano/lib/malloc/scratch_buffer_dupfree.c", "C", 0, 0, 21, 0, 0, 17, 4, 42
"/home/parsa/Desktop/nano/lib/malloc/scratch_buffer_grow.c", "C", 0, 0, 28, 0, 0, 21, 8, 57
"/home/parsa/Desktop/nano/lib/malloc/scratch_buffer_grow_preserve.c", "C", 0, 0, 39, 0, 0, 22, 7, 68
"/home/parsa/Desktop/nano/lib/malloc/scratch_buffer_set_array_size.c", "C", 0, 0, 33, 0, 0, 23, 9, 65
"/home/parsa/Desktop/nano/lib/malloca.c", "C", 0, 0, 51, 0, 0, 47, 10, 108
"/home/parsa/Desktop/nano/lib/malloca.h", "C++", 0, 0, 0, 61, 0, 46, 18, 125
"/home/parsa/Desktop/nano/lib/math.c", "C", 0, 0, 4, 0, 0, 16, 3, 23
"/home/parsa/Desktop/nano/lib/math.h", "C++", 0, 0, 0, 2595, 0, 406, 194, 3195
"/home/parsa/Desktop/nano/lib/math.in.h", "C++", 0, 0, 0, 2376, 0, 140, 172, 2688
"/home/parsa/Desktop/nano/lib/mbrtowc-impl-utf8.h", "C++", 0, 0, 0, 107, 0, 19, 13, 139
"/home/parsa/Desktop/nano/lib/mbrtowc-impl.h", "C++", 0, 0, 0, 182, 0, 46, 35, 263
"/home/parsa/Desktop/nano/lib/mbrtowc.c", "C", 0, 0, 104, 0, 0, 24, 31, 159
"/home/parsa/Desktop/nano/lib/mbsinit.c", "C", 0, 0, 22, 0, 0, 37, 12, 71
"/home/parsa/Desktop/nano/lib/mbsrtowcs-impl.h", "C++", 0, 0, 0, 77, 0, 30, 16, 123
"/home/parsa/Desktop/nano/lib/mbsrtowcs-state.c", "C", 0, 0, 8, 0, 0, 26, 4, 38
"/home/parsa/Desktop/nano/lib/mbsrtowcs.c", "C", 0, 0, 12, 0, 0, 17, 8, 37
"/home/parsa/Desktop/nano/lib/mbtowc-impl.h", "C++", 0, 0, 0, 22, 0, 19, 4, 45
"/home/parsa/Desktop/nano/lib/mbtowc-lock.c", "C", 0, 0, 80, 0, 0, 41, 30, 151
"/home/parsa/Desktop/nano/lib/mbtowc-lock.h", "C++", 0, 0, 0, 72, 0, 25, 29, 126
"/home/parsa/Desktop/nano/lib/mbtowc.c", "C", 0, 0, 6, 0, 0, 16, 5, 27
"/home/parsa/Desktop/nano/lib/memchr.c", "C", 0, 0, 76, 0, 0, 73, 24, 173
"/home/parsa/Desktop/nano/lib/mempcpy.c", "C", 0, 0, 9, 0, 0, 19, 6, 34
"/home/parsa/Desktop/nano/lib/msvc-inval.c", "C", 0, 0, 83, 0, 0, 26, 21, 130
"/home/parsa/Desktop/nano/lib/msvc-inval.h", "C++", 0, 0, 0, 100, 0, 90, 33, 223
"/home/parsa/Desktop/nano/lib/msvc-nothrow.c", "C", 0, 0, 25, 0, 0, 18, 9, 52
"/home/parsa/Desktop/nano/lib/msvc-nothrow.h", "C++", 0, 0, 0, 10, 0, 24, 10, 44
"/home/parsa/Desktop/nano/lib/nl_langinfo-lock.c", "C", 0, 0, 80, 0, 0, 41, 30, 151
"/home/parsa/Desktop/nano/lib/nl_langinfo.c", "C", 0, 0, 434, 0, 0, 79, 60, 573
"/home/parsa/Desktop/nano/lib/opendir.c", "C", 0, 0, 125, 0, 0, 26, 29, 180
"/home/parsa/Desktop/nano/lib/pathmax.h", "C++", 0, 0, 0, 22, 0, 51, 11, 84
"/home/parsa/Desktop/nano/lib/printf-args.c", "C", 0, 0, 137, 0, 0, 41, 6, 184
"/home/parsa/Desktop/nano/lib/printf-args.h", "C++", 0, 0, 0, 104, 0, 31, 16, 151
"/home/parsa/Desktop/nano/lib/printf-frexp.c", "C", 0, 0, 129, 0, 0, 40, 22, 191
